timestamp,open,high,low,close,volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency,hour,minute,ticker,si_current_price,si_market_cap,si_pe_trailing,si_pe_forward,si_beta,si_dividend_yield,si_dividend_rate,si_payout_ratio,si_52w_low,si_52w_high,si_employees,si_book_value,si_price_to_book,si_profit_margin,si_roa,si_roe,si_revenue_per_share,si_total_cash,si_total_debt,si_total_revenue,si_ebitda,si_gross_margins,si_operating_margins,si_debt_to_equity,si_quick_ratio,si_current_ratio,si_inst_pct,si_insider_pct,si_short_ratio,si_shares_outstanding,si_float_shares,si_target_mean,si_target_high,si_target_low,si_recommendation_mean,si_num_analysts,inc_total_revenue,inc_cost_of_revenue,inc_gross_profit,inc_operating_income,inc_net_income,inc_diluted_eps,inc_basic_eps,inc_rd,inc_sga,inc_tax_provision,inc_pretax_income,inc_ebitda,inc_ebit,inc_norm_ebitda,inc_norm_income,inc_depreciation,inc_diluted_shares,inc_basic_shares,bs_total_assets,bs_total_liabilities,bs_stockholders_equity,bs_total_debt,bs_net_debt,bs_cash,bs_cash_short_inv,bs_inventory,bs_receivables,bs_net_ppe,bs_gross_ppe,bs_accum_depreciation,bs_goodwill,bs_intangible_assets,bs_long_term_debt,bs_current_liabilities,bs_current_assets,bs_working_capital,bs_retained_earnings,bs_common_stock,bs_capital_stock,bs_total_equity,bs_tangible_book_value,bs_invested_capital,bs_total_capitalization,cf_operating,cf_free,cf_capex,cf_dividends_paid,cf_stock_repurchases,cf_financing,cf_investing,cf_net_change,cf_end_cash,cf_begin_cash,cf_stock_comp,cf_depreciation,cf_deferred_tax,cf_net_income_ops,cf_change_wc,cf_issuance_debt,cf_repayment_debt,rec_strong_buy,rec_buy,rec_hold,rec_sell,rec_strong_sell,news_count,news_latest_headline
2026-08-13 13:30:00+00:00,261.7250061035,262.0,260.8999938965,261.700012207,132166,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,13,30,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-08-13 13:35:00+00:00,261.6199951172,261.8999938965,261.0100097656,261.2600097656,39530,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,13,35,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-08-13 13:40:00+00:00,261.3394775391,261.6600036621,260.9700012207,261.5199890137,34106,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,13,40,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-08-13 13:45:00+00:00,261.5899963379,261.5899963379,260.3700866699,260.4849853516,70391,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,13,45,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-08-13 13:50:00+00:00,260.3699951172,260.3999938965,259.8299865723,260.0299987793,69763,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,13,50,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-08-13 13:55:00+00:00,260.058013916,260.6700134277,260.0450134277,260.4700012207,39871,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,13,55,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-08-13 14:00:00+00:00,260.4849853516,261.1099853516,260.3699951172,260.7950134277,70385,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,14,0,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-08-13 14:05:00+00:00,260.7950134277,260.7950134277,260.049987793,260.1000061035,32974,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,14,5,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-08-13 14:10:00+00:00,260.1199951172,260.3399963379,259.6474914551,260.299987793,52848,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,14,10,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
2026-08-13 14:15:00+00:00,260.3800048828,260.5599975586,259.799987793,260.4899902344,56636,0.0,0.0,JNJ,强生,Johnson & Johnson,USD,14,15,JNJ,262.37,632285036544,30.437355,21.317896,0.231,2.06,5.36,0.6079,173.33,274.9,138200,35.284,7.435948,0.21482,0.08595,0.25742,40.667,20757999616,49036001280,97929003008,34872000512,0.6814,0.2919,57.709,0.725,1.089,0.77237,0.00053,3.16,2409898597,2405994561,272.5,305.0,190.0,1.91304,22,94193000000.0,30256000000.0,63937000000.0,25596000000.0,26804000000.0,11.03,11.13,0,23676000000.0,5777000000.0,32581000000.0,41055000000.0,33552000000.0,35164000000.0,21957544581.19763,7503000000.0,2429400000.0,2407400000.0,199210000000.0,117666000000.0,81544000000.0,47933000000.0,28224000000.0,19709000000.0,20102000000.0,14191000000.0,17178000000.0,23169000000.0,54364000000.0,-31195000000.0,48772000000.0,0,39438000000.0,54126000000.0,55624000000.0,1498000000.0,0,3120000000.0,3120000000.0,81544000000.0,-17631000000.0,129477000000.0,120982000000.0,24530000000.0,19313000000.0,-5217000000.0,-12381000000.0,-5953000000.0,-5539000000.0,-23588000000.0,-4597000000.0,19709000000.0,24105000000.0,1354000000.0,7503000000.0,1538000000.0,26804000000.0,-12718000000.0,23724000000.0,-14087000000.0,5,11,6,1,0,0,
